Similitud de la palabra "maquinaria"

Raw_Frequency              | Relative_Frequency         | Sublineal                  | IDF_BM25                   | 
borja               : 0.212| especialmente       : 0.211| legisladores        : 0.212| bridges             : 0.212| 
especialmente       : 0.212| constructor         : 0.208| fehaciente          : 0.211| perjudicar          : 0.211| 
extendar            : 0.211| inestabilidad       : 0.207| portavoz            : 0.210| borja               : 0.211| 
perjudicar          : 0.210| aportar             : 0.207| ctm                 : 0.210| constructor         : 0.211| 
estudiantado        : 0.208| oficial             : 0.206| despacho            : 0.210| acceder             : 0.210| 
declinar            : 0.208| estudiantado        : 0.206| inestabilidad       : 0.209| despacho            : 0.207| 
inestabilidad       : 0.207| declinar            : 0.204| extendar            : 0.209| especialmente       : 0.207| 
bridges             : 0.205| extendar            : 0.204| especialmente       : 0.209| extendar            : 0.205| 
oficial             : 0.205| despacho            : 0.204| declinar            : 0.208| oficial             : 0.204| 
ctm                 : 0.203| perjudicar          : 0.203| aportar             : 0.206| vietnam             : 0.204| 
constructor         : 0.202| portavoz            : 0.202| estudiantado        : 0.205| inestabilidad       : 0.203| 
generar             : 0.201| bridges             : 0.202| reparto             : 0.203| declinar            : 0.203| 
aportar             : 0.200| legisladores        : 0.202| dictadura           : 0.202| estudiantado        : 0.203| 
pib                 : 0.200| dictadura           : 0.202| perjudicar          : 0.202| capfce              : 0.201| 
despacho            : 0.199| ctm                 : 0.198| oficial             : 0.201| liberación          : 0.200| 
liberación          : 0.197| generar             : 0.198| liberación          : 0.201| generar             : 0.200| 
portavoz            : 0.197| citar               : 0.196| capfce              : 0.200| aportar             : 0.199| 
vietnam             : 0.197| vietnam             : 0.194| vietnam             : 0.199| victorio            : 0.199| 
emprender           : 0.195| capfce              : 0.194| victorio            : 0.199| operador            : 0.199| 
natural             : 0.195| liberación          : 0.194| natural             : 0.198| dictadura           : 0.199| 
capfce              : 0.195| plascencia          : 0.192| operador            : 0.197| ctm                 : 0.199| 
dictadura           : 0.195| urge                : 0.192| pib                 : 0.194| pib                 : 0.198| 
operador            : 0.195| natural             : 0.190| generar             : 0.194| natural             : 0.194| 
victorio            : 0.194| operador            : 0.190| emprender           : 0.194| reparto             : 0.194| 
legislativos        : 0.193| mensaje             : 0.190| jornada             : 0.193| emprender           : 0.192| 
citar               : 0.192| reparto             : 0.190| constructor         : 0.192| legislativos        : 0.192| 
auténtica           : 0.191| legislativos        : 0.190| legislativos        : 0.191| mensaje             : 0.190| 
representa          : 0.191| pib                 : 0.189| citar               : 0.189| plascencia          : 0.189| 
reparto             : 0.191| representa          : 0.189| legorreta           : 0.189| citar               : 0.189| 
globalización       : 0.190| auténtica           : 0.189| par                 : 0.188| permanente          : 0.189| 
colegio             : 0.190| prioridad           : 0.188| herrera             : 0.188| satisfacer          : 0.189| 
guadarrama          : 0.190| emprender           : 0.187| gilberto            : 0.188| par                 : 0.188| 
plascencia          : 0.189| satisfacer          : 0.186| urge                : 0.188| globalización       : 0.188| 
par                 : 0.189| par                 : 0.186| plascencia          : 0.188| gilberto            : 0.187| 
urge                : 0.189| posteriormente      : 0.186| anticipación        : 0.185| herrera             : 0.187| 
obedecer            : 0.188| medina              : 0.185| medina              : 0.184| reclamar            : 0.187| 
gilberto            : 0.188| permanente          : 0.184| ue                  : 0.184| transformación      : 0.185| 
herrera             : 0.188| colegio             : 0.184| reclamar            : 0.184| medina              : 0.185| 
editar              : 0.187| editar              : 0.184| satisfacer          : 0.183| representa          : 0.183| 
americano           : 0.187| profundo            : 0.183| americano           : 0.183| auténtica           : 0.183| 
jornada             : 0.187| reclamar            : 0.183| neri                : 0.182| obedecer            : 0.182| 
permanente          : 0.186| reiterar            : 0.182| transformación      : 0.182| jornada             : 0.182| 
mensaje             : 0.185| ginecólogo          : 0.182| permanente          : 0.181| editar              : 0.182| 
